workshop_id|bucket|asset_type|title|source_path|status|notes|validation_issues
03|Handouts|xlsx|Personal Balance Sheet|Parts/Teaching Materials/Workshop 3/Handouts/Personal Balance Sheet.xlsx|ok||
03|Handouts|xlsx|Personal Monthly Budget|Parts/Teaching Materials/Workshop 3/Handouts/Personal Monthly Budget.xlsx|ok||
03|Handouts|docx|Workshop 3 Worksheets|Parts/Teaching Materials/Workshop 3/Handouts/Workshop 3 Worksheets.docx|ok||
03|Handouts|pdf|Workshop 3 Worksheets|Parts/Teaching Materials/Workshop 3/Handouts/Workshop 3 Worksheets.pdf|ok||
03||pdf|Money Basics PPT Workshop 3|Parts/Teaching Materials/Workshop 3/Money Basics PPT Workshop 3.pdf|review||missing_bucket
03|Core_Resources|pptx|Money Basics PPT Workshop 3|Parts/Teaching Materials/Workshop 3/Money Basics PPT Workshop 3.pptx|ok||
03|Additional_Resources|docx|1. How to Make a Budget|Parts/Teaching Materials/Workshop 3/Resources/1. How to Make a Budget.docx|ok||
03|Additional_Resources|pdf|1. How to Make a Budget|Parts/Teaching Materials/Workshop 3/Resources/1. How to Make a Budget.pdf|ok||
03|Additional_Resources|docx|10. How to Buy a House with Low Income|Parts/Teaching Materials/Workshop 3/Resources/10.  How to Buy a House with Low Income.docx|ok||
03|Additional_Resources|pdf|10. How to Buy a House with Low Income.docx|Parts/Teaching Materials/Workshop 3/Resources/10.  How to Buy a House with Low Income.docx.pdf|ok||
03|Additional_Resources|docx|11. How To File For SSDI Benefits If Homeless|Parts/Teaching Materials/Workshop 3/Resources/11. How To File For SSDI Benefits If Homeless.docx|ok||
03|Additional_Resources|pdf|11. How To File For SSDI Benefits If Homeless.docx|Parts/Teaching Materials/Workshop 3/Resources/11. How To File For SSDI Benefits If Homeless.docx.pdf|ok||
03|Additional_Resources|pdf|12. SSI Ticket to Work and PASS Accounts|Parts/Teaching Materials/Workshop 3/Resources/12. SSI Ticket to Work and PASS Accounts.pdf|ok||
03|Additional_Resources|docx|13. SSI Elibility Requirements and Asset Limits|Parts/Teaching Materials/Workshop 3/Resources/13. SSI Elibility Requirements and Asset Limits.docx|ok||
03|Additional_Resources|pdf|13. SSI Elibility Requirements and Asset Limits.docx|Parts/Teaching Materials/Workshop 3/Resources/13. SSI Elibility Requirements and Asset Limits.docx.pdf|ok||
03|Additional_Resources|docx|2. Free Online Budgeting Tools|Parts/Teaching Materials/Workshop 3/Resources/2. Free Online Budgeting Tools.docx|ok||
03|Additional_Resources|pdf|2. Free Online Budgeting Tools|Parts/Teaching Materials/Workshop 3/Resources/2. Free Online Budgeting Tools.pdf|ok||
