source,dest,workshop,category,page_role,resource_role,result,source_type
main/rebuild/content/legacy/whole/Module 3/SSI Elibility Requirements and Asset Limits.docx,main/rebuild/content/workshops/workshop-03/resources/SSI Elibility Requirements and Asset Limits.docx,workshop-03,resources,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 4/module4photos.zip,main/rebuild/content/workshops/workshop-04/archives/module4photos.zip,workshop-04,archives,,archive,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 4/Workshop 04 - Banking Basics.pdf,main/rebuild/content/workshops/workshop-04/resources/Workshop 04 - Banking Basics.pdf,workshop-04,resources,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 4/How to Balance Your Checkbook.docx,main/rebuild/content/workshops/workshop-04/resources/How to Balance Your Checkbook.docx,workshop-04,resources,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 4/MB_FTS_ 4.docx,main/rebuild/content/workshops/workshop-04/resources/MB_FTS_ 4.docx,workshop-04,resources,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 4/How to Open a Bank Checking Account With Bad Credit.docx,main/rebuild/content/workshops/workshop-04/resources/How to Open a Bank Checking Account With Bad Credit.docx,workshop-04,resources,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 4/Second Chance Checking Accounts.docx,main/rebuild/content/workshops/workshop-04/resources/Second Chance Checking Accounts.docx,workshop-04,resources,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 4/Why Balancing Your Checkbook is Important.docx,main/rebuild/content/workshops/workshop-04/resources/Why Balancing Your Checkbook is Important.docx,workshop-04,resources,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 4/Module 4 Additional Resources.docx,main/rebuild/content/workshops/workshop-04/resources/Module 4 Additional Resources.docx,workshop-04,resources,,additional_resource,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 4/How to Open a Bank Account.docx,main/rebuild/content/workshops/workshop-04/resources/How to Open a Bank Account.docx,workshop-04,resources,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 4/check_writing_activity/20251212_102910.jpg,main/rebuild/content/workshops/workshop-04/activities/check_writing_activity/20251212_102910.jpg,workshop-04,activities,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 4/check_writing_activity/20251212_102915.jpg,main/rebuild/content/workshops/workshop-04/activities/check_writing_activity/20251212_102915.jpg,workshop-04,activities,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 4/check_writing_activity/20251212_102853.jpg,main/rebuild/content/workshops/workshop-04/activities/check_writing_activity/20251212_102853.jpg,workshop-04,activities,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 4/check_writing_activity/20251212_102840.jpg,main/rebuild/content/workshops/workshop-04/activities/check_writing_activity/20251212_102840.jpg,workshop-04,activities,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 5/WSP_5_FT.docx,main/rebuild/content/workshops/workshop-05/resources/WSP_5_FT.docx,workshop-05,resources,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 5/WSP_5_FG .pdf,main/rebuild/content/workshops/workshop-05/Facilitator_Guide/WSP_5_FG .pdf,workshop-05,Facilitator_Guide,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 5/manifest.txt,main/rebuild/content/workshops/workshop-05/resources/manifest.txt,workshop-05,resources,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 5/Handouts/3. Options if You Can_t Open a Traditional Bank Account.docx,main/rebuild/content/workshops/workshop-05/resources/Handouts/3. Options if You Can_t Open a Traditional Bank Account.docx,workshop-05,resources,,handout,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 5/Handouts/6. Help for Identity Theft.pdf,main/rebuild/content/workshops/workshop-05/resources/Handouts/6. Help for Identity Theft.pdf,workshop-05,resources,,handout,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 5/Handouts/2. Best Online Banks of 2021.pdf,main/rebuild/content/workshops/workshop-05/resources/Handouts/2. Best Online Banks of 2021.pdf,workshop-05,resources,,handout,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 5/Handouts/5. How to Avoid Identity Scams.pdf,main/rebuild/content/workshops/workshop-05/resources/Handouts/5. How to Avoid Identity Scams.pdf,workshop-05,resources,,handout,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 5/Handouts/4. Common Phone Scams.pdf,main/rebuild/content/workshops/workshop-05/resources/Handouts/4. Common Phone Scams.pdf,workshop-05,resources,,handout,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 5/Handouts/1. ATMs and ATM Safety.pdf,main/rebuild/content/workshops/workshop-05/resources/Handouts/1. ATMs and ATM Safety.pdf,workshop-05,resources,,handout,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 5/Handouts/3. Options if You Can_t Open a Traditional Bank Account.pdf,main/rebuild/content/workshops/workshop-05/resources/Handouts/3. Options if You Can_t Open a Traditional Bank Account.pdf,workshop-05,resources,,handout,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 5/Resources/ATM Safety Scenarios.pdf,main/rebuild/content/workshops/workshop-05/resources/Resources/ATM Safety Scenarios.pdf,workshop-05,resources,,resource,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 5/Resources/16. What is ATM Skimming.pdf,main/rebuild/content/workshops/workshop-05/resources/Resources/16. What is ATM Skimming.pdf,workshop-05,resources,,resource,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 5/Resources/6. What are Credit Unions.pdf,main/rebuild/content/workshops/workshop-05/resources/Resources/6. What are Credit Unions.pdf,workshop-05,resources,,resource,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 5/Resources/4. Alternatives to Traditional Banks.docx,main/rebuild/content/workshops/workshop-05/resources/Resources/4. Alternatives to Traditional Banks.docx,workshop-05,resources,,resource,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 5/Resources/8. Things to Consider When Choosing an Online Bank.docx,main/rebuild/content/workshops/workshop-05/resources/Resources/8. Things to Consider When Choosing an Online Bank.docx,workshop-05,resources,,resource,copied,whole_legacy
"main/rebuild/content/legacy/whole/Module 5/Resources/7. Online Banking Definition, Pros and Cons.pdf","main/rebuild/content/workshops/workshop-05/resources/Resources/7. Online Banking Definition, Pros and Cons.pdf",workshop-05,resources,,resource,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 5/Resources/1. What to Do if Your Debit Card is Lost or Stolen.pdf,main/rebuild/content/workshops/workshop-05/resources/Resources/1. What to Do if Your Debit Card is Lost or Stolen.pdf,workshop-05,resources,,resource,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 5/Resources/Safe Virtual Banking.pdf,main/rebuild/content/workshops/workshop-05/resources/Resources/Safe Virtual Banking.pdf,workshop-05,resources,,resource,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 5/Resources/Internet.Banking.Safety.Tips.pdf,main/rebuild/content/workshops/workshop-05/resources/Resources/Internet.Banking.Safety.Tips.pdf,workshop-05,resources,,resource,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 5/Resources/12. How to Spot and Avoid Card Skimmers.docx,main/rebuild/content/workshops/workshop-05/resources/Resources/12. How to Spot and Avoid Card Skimmers.docx,workshop-05,resources,,resource,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 5/Resources/Workshop 5 Additional Resources.pdf,main/rebuild/content/workshops/workshop-05/resources/Resources/Workshop 5 Additional Resources.pdf,workshop-05,resources,,additional_resource,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 5/Resources/ATM Safety Scenarios.docx,main/rebuild/content/workshops/workshop-05/resources/Resources/ATM Safety Scenarios.docx,workshop-05,resources,,resource,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 5/Resources/2. Debit Card Safety Online.docx,main/rebuild/content/workshops/workshop-05/resources/Resources/2. Debit Card Safety Online.docx,workshop-05,resources,,resource,copied,whole_legacy
"main/rebuild/content/legacy/whole/Module 5/Resources/7. Online Banking Definition, Pros and Cons.docx","main/rebuild/content/workshops/workshop-05/resources/Resources/7. Online Banking Definition, Pros and Cons.docx",workshop-05,resources,,resource,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 5/Resources/11. First Aid for Identity Theft.pdf,main/rebuild/content/workshops/workshop-05/resources/Resources/11. First Aid for Identity Theft.pdf,workshop-05,resources,,resource,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 5/Resources/9. List of Virtual Banks and Their Benefits.pdf,main/rebuild/content/workshops/workshop-05/resources/Resources/9. List of Virtual Banks and Their Benefits.pdf,workshop-05,resources,,resource,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 5/Resources/5. Pros and Cons of Internet Banks.docx,main/rebuild/content/workshops/workshop-05/resources/Resources/5. Pros and Cons of Internet Banks.docx,workshop-05,resources,,resource,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 5/Resources/5. Pros and Cons of Internet Banks.pdf,main/rebuild/content/workshops/workshop-05/resources/Resources/5. Pros and Cons of Internet Banks.pdf,workshop-05,resources,,resource,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 5/Resources/13. IRS Tips for Protecting Your Identity.pdf,main/rebuild/content/workshops/workshop-05/resources/Resources/13. IRS Tips for Protecting Your Identity.pdf,workshop-05,resources,,resource,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 5/Resources/8. Things to Consider When Choosing an Online Bank.pdf,main/rebuild/content/workshops/workshop-05/resources/Resources/8. Things to Consider When Choosing an Online Bank.pdf,workshop-05,resources,,resource,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 5/Resources/15. What To Do if You_ve Been Scammed.pdf,main/rebuild/content/workshops/workshop-05/resources/Resources/15. What To Do if You_ve Been Scammed.pdf,workshop-05,resources,,resource,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 5/Resources/14. Repairing Identity Theft.pdf,main/rebuild/content/workshops/workshop-05/resources/Resources/14. Repairing Identity Theft.pdf,workshop-05,resources,,resource,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 5/Resources/12. How to Spot and Avoid Card Skimmers.pdf,main/rebuild/content/workshops/workshop-05/resources/Resources/12. How to Spot and Avoid Card Skimmers.pdf,workshop-05,resources,,resource,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 5/Resources/4. Alternatives to Traditional Banks.pdf,main/rebuild/content/workshops/workshop-05/resources/Resources/4. Alternatives to Traditional Banks.pdf,workshop-05,resources,,resource,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 5/Resources/3. Best Online Banks.pdf,main/rebuild/content/workshops/workshop-05/resources/Resources/3. Best Online Banks.pdf,workshop-05,resources,,resource,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 5/Resources/2. Debit Card Safety Online.pdf,main/rebuild/content/workshops/workshop-05/resources/Resources/2. Debit Card Safety Online.pdf,workshop-05,resources,,resource,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 5/Resources/10. Online and Mobile Money Safety.pdf,main/rebuild/content/workshops/workshop-05/resources/Resources/10. Online and Mobile Money Safety.pdf,workshop-05,resources,,resource,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 6/What You Should Know About Credit Card Interest Rates.docx,main/rebuild/content/workshops/workshop-06/resources/What You Should Know About Credit Card Interest Rates.docx,workshop-06,resources,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 6/How to Raise a Low Credit Score.docx,main/rebuild/content/workshops/workshop-06/resources/How to Raise a Low Credit Score.docx,workshop-06,resources,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 6/Workshop 06 - Credit & Loans.pdf,main/rebuild/content/workshops/workshop-06/resources/Workshop 06 - Credit & Loans.pdf,workshop-06,resources,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 6/How to Get the Best Car Loan.docx,main/rebuild/content/workshops/workshop-06/resources/How to Get the Best Car Loan.docx,workshop-06,resources,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 6/Why Payday Loans Can Be Costly.docx,main/rebuild/content/workshops/workshop-06/resources/Why Payday Loans Can Be Costly.docx,workshop-06,resources,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 6/manifest.txt,main/rebuild/content/workshops/workshop-06/resources/manifest.txt,workshop-06,resources,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 6/How to Choose a Credit Card.docx,main/rebuild/content/workshops/workshop-06/resources/How to Choose a Credit Card.docx,workshop-06,resources,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 6/MB_FTS_ 6.docx,main/rebuild/content/workshops/workshop-06/resources/MB_FTS_ 6.docx,workshop-06,resources,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 6/Module 6 Additional Resources.docx,main/rebuild/content/workshops/workshop-06/resources/Module 6 Additional Resources.docx,workshop-06,resources,,additional_resource,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 6/How to Get Preapproved for a Loan.docx,main/rebuild/content/workshops/workshop-06/resources/How to Get Preapproved for a Loan.docx,workshop-06,resources,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 6/How Credit Scores Work.docx,main/rebuild/content/workshops/workshop-06/resources/How Credit Scores Work.docx,workshop-06,resources,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 7/MB_FTS_ 7.pdf,main/rebuild/content/workshops/workshop-07/resources/MB_FTS_ 7.pdf,workshop-07,resources,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 7/How to Create a Debt Elimination Plan.docx,main/rebuild/content/workshops/workshop-07/resources/How to Create a Debt Elimination Plan.docx,workshop-07,resources,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 7/73 Tips for Eliminating Debt.docx,main/rebuild/content/workshops/workshop-07/resources/73 Tips for Eliminating Debt.docx,workshop-07,resources,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 7/5 Ways to Get out of Debt.docx,main/rebuild/content/workshops/workshop-07/resources/5 Ways to Get out of Debt.docx,workshop-07,resources,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 7/The Effects of Debt on Your Health.docx,main/rebuild/content/workshops/workshop-07/resources/The Effects of Debt on Your Health.docx,workshop-07,resources,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 7/Module 7 Additional Resources.docx,main/rebuild/content/workshops/workshop-07/resources/Module 7 Additional Resources.docx,workshop-07,resources,,additional_resource,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 7/Workshop 07 - Debt & Tools.pdf,main/rebuild/content/workshops/workshop-07/resources/Workshop 07 - Debt & Tools.pdf,workshop-07,resources,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 7/MB_FTS_ 7.docx,main/rebuild/content/workshops/workshop-07/resources/MB_FTS_ 7.docx,workshop-07,resources,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 7/Workshop_07/Facilitator_Guide/Workshop_07/PDFs/pg1.pdf,main/rebuild/content/workshops/workshop-07/Facilitator_Guide/PDFs/pg1.pdf,workshop-07,Facilitator_Guide,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 7/Workshop_07/Facilitator_Guide/Workshop_07/PDFs/pg2.pdf,main/rebuild/content/workshops/workshop-07/Facilitator_Guide/PDFs/pg2.pdf,workshop-07,Facilitator_Guide,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 7/Workshop_07/Facilitator_Guide/Workshop_07/PDFs/pg4.pdf,main/rebuild/content/workshops/workshop-07/Facilitator_Guide/PDFs/pg4.pdf,workshop-07,Facilitator_Guide,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 7/Workshop_07/Facilitator_Guide/Workshop_07/PDFs/pg7.pdf,main/rebuild/content/workshops/workshop-07/Facilitator_Guide/PDFs/pg7.pdf,workshop-07,Facilitator_Guide,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 7/Workshop_07/Facilitator_Guide/Workshop_07/PDFs/pg6.pdf,main/rebuild/content/workshops/workshop-07/Facilitator_Guide/PDFs/pg6.pdf,workshop-07,Facilitator_Guide,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 7/Workshop_07/Facilitator_Guide/Workshop_07/PDFs/pg5.pdf,main/rebuild/content/workshops/workshop-07/Facilitator_Guide/PDFs/pg5.pdf,workshop-07,Facilitator_Guide,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 7/Workshop_07/Facilitator_Guide/Workshop_07/PDFs/pg3.pdf,main/rebuild/content/workshops/workshop-07/Facilitator_Guide/PDFs/pg3.pdf,workshop-07,Facilitator_Guide,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 7/Workshop_07/Facilitator_Guide/Workshop_07/PNGs/pg5.png,main/rebuild/content/workshops/workshop-07/Facilitator_Guide/PNGs/pg5.png,workshop-07,Facilitator_Guide,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 7/Workshop_07/Facilitator_Guide/Workshop_07/PNGs/pg1.png,main/rebuild/content/workshops/workshop-07/Facilitator_Guide/PNGs/pg1.png,workshop-07,Facilitator_Guide,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 7/Workshop_07/Facilitator_Guide/Workshop_07/PNGs/pg2.png,main/rebuild/content/workshops/workshop-07/Facilitator_Guide/PNGs/pg2.png,workshop-07,Facilitator_Guide,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 7/Workshop_07/Facilitator_Guide/Workshop_07/PNGs/pg4.png,main/rebuild/content/workshops/workshop-07/Facilitator_Guide/PNGs/pg4.png,workshop-07,Facilitator_Guide,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 7/Workshop_07/Facilitator_Guide/Workshop_07/PNGs/pg7.png,main/rebuild/content/workshops/workshop-07/Facilitator_Guide/PNGs/pg7.png,workshop-07,Facilitator_Guide,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 7/Workshop_07/Facilitator_Guide/Workshop_07/PNGs/pg6.png,main/rebuild/content/workshops/workshop-07/Facilitator_Guide/PNGs/pg6.png,workshop-07,Facilitator_Guide,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 7/Workshop_07/Facilitator_Guide/Workshop_07/PNGs/pg3.png,main/rebuild/content/workshops/workshop-07/Facilitator_Guide/PNGs/pg3.png,workshop-07,Facilitator_Guide,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 7/Workshop_07/Student_Guide/Workshop_07/PDFs/pg10.pdf,main/rebuild/content/workshops/workshop-07/Student_Guide/PDFs/pg10.pdf,workshop-07,Student_Guide,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 7/Workshop_07/Student_Guide/Workshop_07/PDFs/pg1.pdf,main/rebuild/content/workshops/workshop-07/Student_Guide/PDFs/pg1.pdf,workshop-07,Student_Guide,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 7/Workshop_07/Student_Guide/Workshop_07/PDFs/pg8.pdf,main/rebuild/content/workshops/workshop-07/Student_Guide/PDFs/pg8.pdf,workshop-07,Student_Guide,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 7/Workshop_07/Student_Guide/Workshop_07/PDFs/pg2.pdf,main/rebuild/content/workshops/workshop-07/Student_Guide/PDFs/pg2.pdf,workshop-07,Student_Guide,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 7/Workshop_07/Student_Guide/Workshop_07/PDFs/pg4.pdf,main/rebuild/content/workshops/workshop-07/Student_Guide/PDFs/pg4.pdf,workshop-07,Student_Guide,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 7/Workshop_07/Student_Guide/Workshop_07/PDFs/pg12.pdf,main/rebuild/content/workshops/workshop-07/Student_Guide/PDFs/pg12.pdf,workshop-07,Student_Guide,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 7/Workshop_07/Student_Guide/Workshop_07/PDFs/pg13.pdf,main/rebuild/content/workshops/workshop-07/Student_Guide/PDFs/pg13.pdf,workshop-07,Student_Guide,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 7/Workshop_07/Student_Guide/Workshop_07/PDFs/pg11.pdf,main/rebuild/content/workshops/workshop-07/Student_Guide/PDFs/pg11.pdf,workshop-07,Student_Guide,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 7/Workshop_07/Student_Guide/Workshop_07/PDFs/pg7.pdf,main/rebuild/content/workshops/workshop-07/Student_Guide/PDFs/pg7.pdf,workshop-07,Student_Guide,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 7/Workshop_07/Student_Guide/Workshop_07/PDFs/pg6.pdf,main/rebuild/content/workshops/workshop-07/Student_Guide/PDFs/pg6.pdf,workshop-07,Student_Guide,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 7/Workshop_07/Student_Guide/Workshop_07/PDFs/pg14.pdf,main/rebuild/content/workshops/workshop-07/Student_Guide/PDFs/pg14.pdf,workshop-07,Student_Guide,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 7/Workshop_07/Student_Guide/Workshop_07/PDFs/pg9.pdf,main/rebuild/content/workshops/workshop-07/Student_Guide/PDFs/pg9.pdf,workshop-07,Student_Guide,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 7/Workshop_07/Student_Guide/Workshop_07/PDFs/pg5.pdf,main/rebuild/content/workshops/workshop-07/Student_Guide/PDFs/pg5.pdf,workshop-07,Student_Guide,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 7/Workshop_07/Student_Guide/Workshop_07/PDFs/pg15.pdf,main/rebuild/content/workshops/workshop-07/Student_Guide/PDFs/pg15.pdf,workshop-07,Student_Guide,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 7/Workshop_07/Student_Guide/Workshop_07/PDFs/pg3.pdf,main/rebuild/content/workshops/workshop-07/Student_Guide/PDFs/pg3.pdf,workshop-07,Student_Guide,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 7/Workshop_07/Student_Guide/Workshop_07/PNGs/pg5.png,main/rebuild/content/workshops/workshop-07/Student_Guide/PNGs/pg5.png,workshop-07,Student_Guide,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 7/Workshop_07/Student_Guide/Workshop_07/PNGs/pg16.png,main/rebuild/content/workshops/workshop-07/Student_Guide/PNGs/pg16.png,workshop-07,Student_Guide,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 7/Workshop_07/Student_Guide/Workshop_07/PNGs/pg1.png,main/rebuild/content/workshops/workshop-07/Student_Guide/PNGs/pg1.png,workshop-07,Student_Guide,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 7/Workshop_07/Student_Guide/Workshop_07/PNGs/pg9.png,main/rebuild/content/workshops/workshop-07/Student_Guide/PNGs/pg9.png,workshop-07,Student_Guide,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 7/Workshop_07/Student_Guide/Workshop_07/PNGs/pg2.png,main/rebuild/content/workshops/workshop-07/Student_Guide/PNGs/pg2.png,workshop-07,Student_Guide,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 7/Workshop_07/Student_Guide/Workshop_07/PNGs/pg4.png,main/rebuild/content/workshops/workshop-07/Student_Guide/PNGs/pg4.png,workshop-07,Student_Guide,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 7/Workshop_07/Student_Guide/Workshop_07/PNGs/pg7.png,main/rebuild/content/workshops/workshop-07/Student_Guide/PNGs/pg7.png,workshop-07,Student_Guide,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 7/Workshop_07/Student_Guide/Workshop_07/PNGs/pg12.png,main/rebuild/content/workshops/workshop-07/Student_Guide/PNGs/pg12.png,workshop-07,Student_Guide,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 7/Workshop_07/Student_Guide/Workshop_07/PNGs/pg8.png,main/rebuild/content/workshops/workshop-07/Student_Guide/PNGs/pg8.png,workshop-07,Student_Guide,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 7/Workshop_07/Student_Guide/Workshop_07/PNGs/pg11.png,main/rebuild/content/workshops/workshop-07/Student_Guide/PNGs/pg11.png,workshop-07,Student_Guide,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 7/Workshop_07/Student_Guide/Workshop_07/PNGs/pg15.png,main/rebuild/content/workshops/workshop-07/Student_Guide/PNGs/pg15.png,workshop-07,Student_Guide,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 7/Workshop_07/Student_Guide/Workshop_07/PNGs/pg6.png,main/rebuild/content/workshops/workshop-07/Student_Guide/PNGs/pg6.png,workshop-07,Student_Guide,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 7/Workshop_07/Student_Guide/Workshop_07/PNGs/pg3.png,main/rebuild/content/workshops/workshop-07/Student_Guide/PNGs/pg3.png,workshop-07,Student_Guide,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 7/Workshop_07/Student_Guide/Workshop_07/PNGs/pg13.png,main/rebuild/content/workshops/workshop-07/Student_Guide/PNGs/pg13.png,workshop-07,Student_Guide,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 7/Workshop_07/Student_Guide/Workshop_07/PNGs/pg10.png,main/rebuild/content/workshops/workshop-07/Student_Guide/PNGs/pg10.png,workshop-07,Student_Guide,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 7/Workshop_07/Student_Guide/Workshop_07/PNGs/pg14.png,main/rebuild/content/workshops/workshop-07/Student_Guide/PNGs/pg14.png,workshop-07,Student_Guide,,,copied,whole_legacy
"main/rebuild/content/legacy/whole/Module 8/Workshop 08 - Mental Health, Relationships & Money.pdf","main/rebuild/content/workshops/workshop-08/resources/Workshop 08 - Mental Health, Relationships & Money.pdf",workshop-08,resources,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 8/MB_FTS_ 8.pdf,main/rebuild/content/workshops/workshop-08/resources/MB_FTS_ 8.pdf,workshop-08,resources,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 8/MB_FTS_ 8.docx,main/rebuild/content/workshops/workshop-08/resources/MB_FTS_ 8.docx,workshop-08,resources,,,copied,whole_legacy
"main/rebuild/content/legacy/whole/Module 8/Workshop 08 - Mental Health, Relationships & Money; Financial Crisis Planning.pdf","main/rebuild/content/workshops/workshop-08/resources/Workshop 08 - Mental Health, Relationships & Money; Financial Crisis Planning.pdf",workshop-08,resources,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 8/Money Basics PPT Workshop 8.pptx,main/rebuild/content/workshops/workshop-08/resources/Money Basics PPT Workshop 8.pptx,workshop-08,resources,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 8/Handouts/Elder Financial Abuse.docx,main/rebuild/content/workshops/workshop-08/resources/Handouts/Elder Financial Abuse.docx,workshop-08,resources,,handout,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 8/Handouts/2. Tips for Talking With Your Partner About Finances.pdf,main/rebuild/content/workshops/workshop-08/resources/Handouts/2. Tips for Talking With Your Partner About Finances.pdf,workshop-08,resources,,handout,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 8/Handouts/3. Steps to Healthy Finances in Your Relationship.pdf,main/rebuild/content/workshops/workshop-08/resources/Handouts/3. Steps to Healthy Finances in Your Relationship.pdf,workshop-08,resources,,handout,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 8/Handouts/Financial Stress and Health Risks.docx,main/rebuild/content/workshops/workshop-08/resources/Handouts/Financial Stress and Health Risks.docx,workshop-08,resources,,handout,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 8/Handouts/Workshop 8 Worksheets.docx,main/rebuild/content/workshops/workshop-08/worksheets/Handouts/Workshop 8 Worksheets.docx,workshop-08,worksheets,,handout,copied,whole_legacy
